GSM311598	GSM311599	GSM311600	GSM311601	GSM311602	GSM311603	GSM311604	GSM311605	GSM311606	GSM311607	GSM311608	GSM311609	GSM311610	GSM311611	GSM311612	GSM311613	GSM311614	GSM311615	GSM311616	GSM311617	GSM311618	GSM311619	GSM311620	GSM311621	GSM311622	GSM311623	GSM311624	GSM311625	GSM311626	GSM311627	GSM311628	GSM311629	GSM311630	GSM311631	GSM311632	GSM311633	GSM311634	GSM311635	GSM311636	GSM311637	GSM311638	GSM311639	GSM311640	GSM311641	GSM311642	GSM311643	GSM311644	GSM311645	GSM311646	GSM311647	GSM311648	GSM311649	GSM311650	GSM311651	GSM311652	GSM311653	GSM311654	GSM311655	GSM311656	GSM311657	GSM311658	GSM311659	GSM311660	GSM311661	GSM311662	GSM311663	GSM311664	GSM311665	GSM311666	GSM311667	GSM311668	GSM311669	GSM311670	GSM311671	GSM311672	GSM311673	GSM311674	GSM311675	GSM311676	GSM311677	GSM311678	GSM311679	GSM311680	GSM311681	GSM311682	GSM311683	GSM311684	GSM311685	GSM311686	GSM311687	GSM311688	GSM311689	GSM311690	GSM311691	GSM311692	GSM311693	GSM311694	GSM311695	GSM311696	GSM311697	GSM311698	GSM311699	GSM311700	GSM311701	GSM311702	GSM311703	GSM311704	GSM311705	GSM311706	GSM311707	GSM311708	GSM311709	GSM311710	GSM311711	GSM311712	GSM311713	GSM311714	GSM311715	GSM311716	GSM311717	GSM311718	GSM311719	GSM311720	GSM311721	GSM311722	GSM311723	GSM311724	GSM311725	GSM311726	GSM311727	GSM311728	GSM311729	GSM311730	GSM311731	GSM311732	GSM311733	GSM311734	GSM311735	GSM311736	GSM311737	GSM311738	GSM311739	GSM311740	GSM311741	GSM311742	GSM311743	GSM311744	GSM311745	GSM311746	GSM311747	GSM311748	GSM311749	GSM311750	GSM311751	GSM311752	GSM311753	GSM311754	GSM311755	GSM311756	GSM311757	GSM311758	GSM311759	GSM311760
ACSL3	8.495838	9.133297	8.685855	8.834812	9.424204	8.400667	8.582817	9.154319	8.448587	9.1788	9.261581	8.648795	9.218416	8.689335	8.893068	8.72231	8.488803	7.857261	8.305149	8.44049	8.10487	7.64217	8.875719	8.510104	9.660663	8.959868	8.842435	8.653818	8.954967	8.506787	8.460224	9.133892	8.458235	8.243762	9.166097	8.095914	8.537247	9.245953	8.71428	8.985775	9.150479	8.829145	8.922089	8.195099	9.127388	8.650014	8.326935	8.618562	8.544934	8.895156	8.060608	8.990098	8.958974	8.079238	9.086556	8.674389	8.351528	8.431237	8.791047	8.701931	8.618363	8.644753	8.373567	8.395334	8.020124	9.140698	9.041121	8.761338	8.43072	8.208673	8.39397	8.341522	8.274953	8.226334	8.140072	9.213149	8.731706	8.822434	8.11577	7.939683	8.984319	8.24432	8.509832	8.490681	8.841517	8.487857	9.720416	8.525195	9.326443	9.166499	8.419214	8.688943	9.739964	8.877352	8.428696	8.561172	8.337721	9.069229	8.757721	8.949896	8.73724	8.916953	8.124461	8.925918	8.518101	8.298852	9.238461	8.752707	8.267708	8.097591	8.591718	9.028642	8.664605	8.73923	9.435295	8.437198	8.428603	8.339778	8.533091	8.962104	8.29148	9.248789	8.538264	8.653005	8.477655	8.428347	9.237014	8.583274	8.391456	8.71036	8.448964	7.981743	9.196899	9.555076	8.619191	8.567021	8.416433	8.575543	8.579159	8.872126	8.140868	8.370958	7.997185	8.420253	9.40159	8.876662	9.552628	8.446241	9.063174	8.213506	9.29034	7.66777	8.474144	9.072608	8.346001	9.095574	8.485746	9.150002	8.569909	8.070698	9.294242	8.00587	8.07403
ANGEL1	8.87241	8.978298	8.922527	8.925363	9.008623	9.005587	9.139007	8.960721	9.167379	8.908736	8.861686	8.710458	8.680851	8.961275	9.073205	8.918569	8.953933	8.847612	8.981306	8.704432	9.012364	8.884917	8.890372	9.070424	8.901369	9.111905	8.878788	8.875017	8.792683	8.969839	8.849391	8.783183	8.957487	8.970654	8.881248	8.792185	9.063476	8.769738	8.732012	8.832781	8.891634	8.980967	8.812342	9.056129	8.854979	8.84503	8.789196	8.92359	8.991342	8.851594	8.942481	8.893325	8.968112	8.827765	8.732916	8.706123	8.938894	8.652978	8.80653	8.742841	8.824371	9.139799	8.743694	9.121801	8.875894	9.340999	8.807272	8.828945	9.192471	8.770737	8.924248	8.801944	8.867714	8.91611	9.023855	8.781204	8.816535	8.912409	8.768735	8.713767	9.091922	8.691235	8.885223	8.816967	8.847602	8.773791	9.505909	8.855302	9.207466	8.977503	8.780041	8.870928	9.014862	9.197636	8.985901	8.826629	9.080348	8.88282	8.87616	8.952825	9.089656	8.895152	8.880432	9.216349	9.252905	8.958712	8.918264	9.238155	9.02167	8.856196	8.948159	9.223613	8.861651	9.159204	8.679802	8.64247	8.921312	9.01666	9.117239	8.960166	8.788398	8.747849	8.859486	8.973218	8.893988	9.007377	9.171617	8.666666	9.058278	8.979653	8.75802	8.98324	9.254227	8.997568	8.915343	8.808352	8.778369	9.032403	8.805023	8.739657	8.967264	8.793025	8.842215	8.982174	9.14129	8.805276	8.729875	8.860582	8.75997	8.823053	8.952326	8.79659	8.989001	8.931661	9.021872	8.820936	9.002322	8.734912	8.86441	8.84423	9.082973	8.785641	8.998806
ARL6IP5	10.414912	11.38468	11.569543	11.586595	11.442293	11.010928	11.604572	12.470532	12.39	12.353839	12.206009	12.186304	12.377972	12.927104	13.020766	11.82168	12.353979	10.150558	12.030932	11.234438	12.50585	12.801158	11.410769	12.012932	13.278097	12.487939	10.239921	11.262144	12.011151	10.081241	11.381381	11.519855	11.32541	11.999967	12.633945	12.097596	12.255374	11.895103	11.728942	11.901467	11.643641	11.878381	11.462676	12.710085	12.442697	11.937714	11.762169	11.466118	11.907442	12.166771	11.286063	12.225091	12.312112	11.971478	12.504824	11.605192	12.054144	11.379723	11.041078	11.681553	11.607704	12.662871	9.691004	12.597955	12.745881	12.009014	10.797543	10.741244	12.485763	11.140028	11.213646	11.347204	12.396228	10.639225	12.522825	11.701594	10.207	11.055386	11.38133	10.817348	11.984896	11.056026	12.352918	10.432552	10.688605	11.679222	13.212268	10.346968	11.373253	11.581389	10.618057	11.297375	12.462259	12.772234	11.840897	12.551044	12.506206	10.614818	11.617019	12.336044	12.873163	11.503121	10.717301	12.447906	13.074604	12.684752	12.010837	12.702683	10.300459	10.962623	11.977919	12.182089	11.678534	11.49346	12.016192	9.678469	12.883599	11.37716	11.512554	11.119439	9.903691	10.925188	11.587321	12.509416	10.966474	10.493331	12.894619	11.176259	12.87761	12.162172	11.604206	10.467097	12.130851	11.195179	11.722756	11.920327	11.620502	12.977993	12.29607	11.760278	10.966342	12.365309	11.955182	11.932002	11.834788	12.083471	12.771059	10.760476	12.265901	11.300588	12.642469	9.682227	12.091374	12.248688	9.587874	12.23872	12.582855	12.844215	11.429245	11.701302	10.752405	11.882157	11.885511
BAG3	7.478603	10.071815	8.778674	10.732105	8.428493	10.054491	7.296399	9.283433	7.271866	10.769558	9.206206	10.310884	8.127545	11.373589	9.857273	11.160019	9.746152	7.410453	8.695669	8.497038	8.319214	7.648177	7.753893	8.681768	7.569803	10.070956	8.352814	8.483928	8.817342	8.162388	10.952065	8.103428	9.275483	7.377406	8.710947	8.770639	7.242738	10.284751	10.439144	10.051141	9.497653	8.900537	7.488433	7.447624	8.85901	7.881162	10.094833	10.581199	7.581758	9.474129	7.20564	7.507609	8.274102	10.171857	8.328498	8.112386	9.375005	8.246248	11.024927	7.872704	7.387227	8.06475	7.922557	7.374123	7.767059	7.266696	8.707937	7.749978	7.441732	8.890843	8.054049	8.974632	8.920019	9.443177	7.816762	7.413102	7.661345	8.223337	9.1997	7.638362	7.615756	8.375647	7.188143	8.933705	7.454181	9.474943	7.407107	7.100754	7.711208	7.417802	10.13091	7.81505	8.169384	9.052762	8.6199	7.487348	7.872357	11.359812	7.779194	11.817983	11.682358	8.375585	8.5637	8.287185	9.557431	7.6126	8.85767	7.580389	8.419859	8.762073	7.061997	9.460176	10.836218	8.618639	8.649893	7.911416	8.39361	7.569611	10.072567	7.181316	8.542103	8.421569	8.01809	9.845585	8.863634	7.552016	8.126609	8.404336	10.504439	10.808065	7.437844	9.191141	7.328213	7.887338	11.604025	10.423854	9.342805	7.642348	10.220845	8.98951	7.772238	8.774162	8.472178	8.886732	8.557902	11.299861	10.590268	8.196792	8.817725	8.735871	9.862664	7.520755	8.727075	10.546448	8.199692	10.822607	8.982911	7.912137	8.54549	9.562471	8.671864	7.705948	7.274543
BSPRY	8.524718	8.859132	9.360651	9.023485	8.631484	9.008654	10.291684	9.133236	10.381274	8.478976	8.719513	9.749312	9.134569	8.484648	8.754364	8.532437	9.680881	8.81519	10.013551	9.31467	10.721426	9.94589	9.211487	9.530621	10.38743	9.383242	8.755276	9.416815	9.310012	8.657858	8.977819	9.436339	8.860711	9.512061	9.168105	9.872298	9.282232	9.579076	8.801968	9.085764	9.355375	10.12428	8.877165	9.318117	8.652082	9.461009	8.777556	9.503019	9.286061	8.599118	9.066874	8.804868	9.914783	9.77785	8.604517	9.442698	9.9535	9.183359	9.284504	10.018518	9.935702	9.972995	8.66945	9.767426	9.855759	9.62246	8.967726	8.97111	9.972112	8.645514	8.518941	9.780388	9.360496	8.57907	10.101716	9.57267	8.920776	8.712562	9.261577	9.374943	8.758915	8.908813	9.992795	8.71819	9.002379	8.864458	9.483084	8.800924	9.327879	9.108262	8.826444	9.18988	8.985789	9.864256	9.280765	9.893493	9.486329	8.424077	9.270296	9.281951	9.737547	9.156256	8.424152	10.268744	9.531589	9.551015	8.929843	10.600506	8.933161	9.061372	9.146008	10.006268	8.871327	9.110623	8.892319	9.31124	9.845505	8.966704	9.024775	9.342069	8.586139	8.247583	9.466697	9.318965	8.704329	8.608694	10.19812	9.045445	8.431458	8.695633	8.902879	8.729642	9.778645	9.291905	9.015579	8.637241	8.95762	9.869099	8.696371	8.898665	9.131758	10.281065	9.638648	9.079293	9.507633	8.671724	8.43607	8.702658	9.425489	8.67997	8.781509	8.815372	10.012889	8.462352	8.676327	8.633695	9.817858	9.358198	9.651788	8.78807	8.682197	8.963221	8.467332
BTBD3	8.896481	9.710923	9.239722	9.540919	9.592833	8.463455	9.986991	10.001704	10.482296	9.807337	9.046514	9.838999	10.760699	9.577648	9.230226	10.152678	10.211627	8.571613	10.556446	10.214326	10.247942	9.472807	10.049776	10.248552	8.939551	9.460053	9.131498	10.632481	8.167378	8.741638	9.949762	9.370808	8.848064	9.644642	8.915247	9.986056	9.459442	10.088287	9.971255	9.961114	9.364846	10.063476	8.549815	9.991988	9.213984	11.130281	8.346768	10.319257	9.85505	10.05812	9.253109	8.935118	10.851292	10.194228	8.998847	10.22736	10.02093	9.064768	10.133858	9.532733	9.451913	9.900227	8.8148	11.150136	8.450365	10.620846	8.778652	9.280678	10.608039	8.230722	9.871434	9.87046	9.960129	8.576212	11.303666	10.198082	8.40543	9.744034	9.685758	9.024143	9.815464	8.502527	10.308657	9.226854	8.764537	9.964443	11.308129	7.9268	9.559731	9.57804	7.606046	9.416533	9.006418	11.167696	9.270854	9.509225	10.75054	8.063606	10.049595	10.16911	10.470264	10.418395	7.523345	11.797167	10.549367	9.94685	8.606655	10.822373	7.992591	8.842695	8.954851	11.326476	9.939963	10.062304	10.751114	8.626538	11.04497	9.271691	9.988485	9.265824	8.606264	9.623947	9.913864	10.586789	9.859606	9.452856	11.074476	10.046375	8.667979	9.041975	9.519861	8.722558	10.372288	8.995076	11.061092	9.460159	10.359996	9.758461	9.051642	10.036436	9.720976	10.936516	8.776466	9.824261	10.582079	8.677622	10.003665	10.039639	10.987506	9.788945	9.769305	7.648589	9.884544	9.91595	9.232824	9.877079	10.539032	9.272816	10.114333	9.379761	8.454304	8.581415	10.032648
C1RL	7.775171	8.505204	7.93017	8.265756	7.851571	7.26917	8.397453	8.848062	8.873036	8.831555	8.658329	7.780598	7.721629	9.738421	9.197273	8.731483	9.111697	8.331645	8.327467	8.192561	8.317313	8.053414	9.0461	8.709377	9.191919	9.090968	7.387303	8.245391	8.140615	7.466644	8.185071	8.668762	8.236998	8.388386	8.585307	8.138033	8.022891	8.2819	7.809521	8.293151	7.667681	9.808061	7.659569	8.012389	8.539476	8.745093	7.588976	8.339537	9.144939	7.950745	8.638848	8.792181	8.942733	8.519739	8.457032	8.899782	8.108898	7.87907	8.370869	8.268629	8.943432	9.193818	7.487899	9.218965	7.853797	9.208439	7.559996	8.229408	9.554869	7.071836	7.90824	8.394826	8.407486	7.777222	9.569179	8.594002	7.830367	7.890344	8.052253	7.57172	8.745434	7.47986	8.888269	7.140484	7.867904	7.928486	10.192174	7.415218	8.074742	8.286245	7.96731	8.401348	8.467429	9.573492	7.942376	8.852103	9.432156	7.333809	8.58695	8.482521	8.843194	7.901611	7.087327	9.051187	9.03813	8.74083	8.758366	8.974487	7.661927	7.854318	8.038526	8.716997	7.406089	8.084677	8.847761	7.91344	9.329699	8.031717	8.155537	8.00503	6.968248	8.202038	7.94431	9.297291	8.298885	7.672542	9.803967	7.491699	9.092488	8.69106	8.652043	8.086726	8.685507	7.352885	8.305508	8.071551	7.883825	8.913284	8.069342	7.923813	7.66597	8.338948	7.989003	7.826415	8.094604	8.807545	8.342375	7.746245	8.427486	7.45982	8.67669	6.96533	9.0513	8.464518	7.285728	8.49529	8.728482	8.795306	7.786554	8.560042	7.546416	8.28713	8.064006
CALCOCO2	10.28078	10.845131	10.867903	11.709737	10.708556	10.657468	11.733407	11.450517	10.664579	11.297789	11.528806	10.974435	11.41692	11.348486	11.651802	11.50257	11.759348	11.277391	11.015336	10.879554	11.235038	11.701961	11.200202	10.966667	12.365454	12.132343	10.53382	10.944854	11.775442	9.915193	11.270373	11.333758	10.719823	11.887002	11.765531	11.25878	11.845076	12.522939	11.233736	11.26112	10.492682	10.747748	11.194014	11.729359	11.54821	11.235991	10.747439	11.095815	12.446674	10.914695	11.365047	11.467707	10.968981	11.627328	11.314099	11.826055	10.956039	11.188448	10.293485	11.582973	12.358602	11.395013	9.647896	11.259582	11.973985	12.114194	10.479364	10.518232	11.327157	10.19528	11.484979	11.183569	11.149954	11.020221	11.255484	11.391836	11.107272	11.218887	10.631259	9.912997	11.410419	10.738054	12.05735	9.997061	9.717763	10.894738	11.491737	10.016578	10.613025	10.52375	10.522841	10.640556	11.677176	11.618674	10.409295	11.762797	11.522028	10.795977	12.258228	11.114831	11.457367	10.786083	9.843626	11.161767	11.27323	11.310941	10.656421	11.294028	9.974483	10.149129	11.416299	11.040678	10.821356	11.120615	11.618663	11.156952	11.990142	12.052837	11.220708	11.139971	9.749437	10.803378	10.599895	12.083123	11.169336	10.622085	12.25863	10.530345	11.545102	11.533854	11.519925	11.425915	11.33541	10.967537	11.025182	11.282183	10.797007	10.524186	11.844713	11.056805	11.324734	11.217611	11.657066	10.68406	11.229025	11.474254	11.253147	10.652656	11.064689	10.757083	11.841335	10.276003	11.246953	11.206457	10.492582	11.835725	11.712307	12.12282	10.780731	11.172151	10.345707	11.043304	11.617564
CAMKK2	8.492395	8.683934	8.446276	8.840525	8.48952	8.565424	8.705991	8.747201	8.763548	8.769186	8.632881	8.428341	8.313131	8.853172	9.139617	8.679138	8.644549	8.285456	8.477486	8.379315	8.701824	8.965742	8.655902	8.54152	9.100823	8.623206	8.43859	8.636269	8.452225	8.401166	8.547605	8.536904	8.555923	8.717114	9.121896	8.663863	8.833127	8.546685	8.529879	8.585098	8.295614	8.741934	8.756224	8.958503	8.795129	8.432058	8.781423	8.504628	8.654086	8.626092	9.082912	8.955961	8.636383	8.566913	8.826643	8.381139	8.888437	8.543624	8.596032	8.637352	8.472807	8.877973	8.290419	8.920637	8.64212	8.814809	8.655869	8.685974	8.887799	8.316986	8.325385	8.334815	8.844498	8.410116	8.485466	8.748625	8.50804	8.54476	8.414266	8.26288	8.84561	8.634089	8.825173	8.451969	8.649009	8.516258	8.748162	8.420978	8.543327	8.556103	8.509223	8.597041	8.776579	8.534502	8.701993	8.767719	8.723017	8.805087	8.625343	8.560579	8.463249	8.775082	8.230234	8.718426	8.567833	8.788681	8.893289	8.805204	8.957364	8.44339	8.953305	8.550701	8.575896	8.592226	8.812156	8.35683	8.769527	8.525123	8.710171	8.626211	8.251838	8.337356	8.842899	8.873674	8.508286	8.427739	8.741534	8.225132	8.901929	8.794595	8.642817	8.433909	8.579012	8.332729	8.773092	8.659599	8.631315	8.861759	8.515877	8.412431	8.415799	8.358154	8.646058	8.538385	8.447458	8.603445	8.487897	8.20135	8.521106	8.39857	8.665215	8.303073	8.886087	8.812132	8.321	8.694726	8.675262	8.672058	8.544727	8.898401	8.512186	8.880497	8.688975
CANX	10.942669	11.715311	11.840527	11.491899	11.504136	10.944996	11.157994	11.700809	11.591069	11.784934	11.53303	11.290128	10.525257	11.428235	11.624924	11.589393	12.031031	10.345483	11.057811	11.498953	11.16955	11.474901	11.275347	11.239102	11.304148	12.026294	10.732186	11.742096	11.061034	9.972328	11.201899	11.22621	10.855135	11.545812	11.449309	11.428261	11.510727	11.482507	11.580436	11.800158	11.416008	11.971927	11.120392	11.785295	11.478759	11.264609	10.704399	11.180701	11.878948	11.11822	11.782846	11.645304	11.417849	11.141457	11.590715	11.228379	11.439845	10.924388	11.336321	11.321048	11.424153	11.247582	10.466261	11.635252	11.358819	12.335597	11.340444	11.63777	11.458689	10.549497	10.367856	11.840315	11.383561	10.502653	11.137482	11.237649	10.473037	10.809628	11.014674	10.512475	11.710884	11.150092	11.539197	9.963312	10.938493	11.172949	11.514551	10.164752	11.377187	11.596842	10.993158	11.410472	10.823915	11.790729	11.465589	11.088155	11.252658	10.515553	11.270919	11.399928	11.905262	11.302981	9.458936	11.758245	11.364842	11.775716	11.321113	11.327591	10.456313	10.379819	11.525798	12.043397	11.038723	11.63317	11.536366	10.46336	11.84739	11.158136	11.293603	11.362321	10.085435	10.70292	11.878645	12.250499	11.432378	11.187236	11.974347	11.081001	11.960896	11.352117	11.648277	10.955928	11.160486	10.995281	10.961596	11.26501	11.730001	11.314295	11.376334	11.503025	10.903227	11.194329	11.379033	11.216486	11.26032	11.482061	11.374129	10.826684	11.12957	10.293688	11.372282	9.592905	11.651885	11.531891	10.291492	11.256736	11.653046	11.006063	10.834303	11.265552	10.823525	11.218017	11.624232
