GSM924440	GSM924441	GSM924442	GSM924443	GSM924444	GSM924445	GSM924446	GSM924447	GSM924448	GSM924449	GSM924450	GSM924451	GSM924452	GSM924453	GSM924454	GSM924455	GSM924456	GSM924457	GSM924458	GSM924459	GSM924460	GSM924461	GSM924462	GSM924463	GSM924464	GSM924465	GSM924466	GSM924467	GSM924468	GSM924469	GSM924470	GSM924471	GSM924472	GSM924473	GSM924474	GSM924475	GSM924476	GSM924477	GSM924478	GSM924479	GSM924480	GSM924481	GSM924482	GSM924483	GSM924484	GSM924485	GSM924486	GSM924487	GSM924488	GSM924489	GSM924490	GSM924491	GSM924492	GSM924493	GSM924494	GSM924495	GSM924496	GSM924497	GSM924498	GSM924499	GSM924500	GSM924501	GSM924502	GSM924503	GSM924504	GSM924505	GSM924506	GSM924507	GSM924508	GSM924509	GSM924510	GSM924511	GSM924512	GSM924513	GSM924514	GSM924515	GSM924516	GSM924517	GSM924518	GSM924519	GSM924520	GSM924521	GSM924522	GSM924523	GSM924524	GSM924525	GSM924526	GSM924527	GSM924528	GSM924529	GSM924530	GSM924531	GSM924532	GSM924533	GSM924534	GSM924535	GSM924536	GSM924537	GSM924538	GSM924539	GSM924540	GSM924541	GSM924542	GSM924543	GSM924544	GSM924545	GSM924546	GSM924547	GSM924548	GSM924549	GSM924550	GSM924551	GSM924552	GSM924553	GSM924554	GSM924555	GSM924556	GSM924557	GSM924558	GSM924559	GSM924560	GSM924561	GSM924562	GSM924563	GSM924564	GSM924565	GSM924566	GSM924567	GSM924568	GSM924569	GSM924570	GSM924571	GSM924572	GSM924573	GSM924574	GSM924575	GSM924576	GSM924577	GSM924578	GSM924579
ACSL3	8.743333	8.183333	8.086667	9.093333	7.936667	7.476667	7.483333	8.123333	8.246667	8.416667	7.326667	8.286667	7.57	7.586667	8.64	7.34	8.32	7.9	8.51	7.816667	8.01	8.13	7.27	6.836667	7.383333	8.24	8.46	8.856667	7.36	8.1	7.863333	7.443333	7.793333	8.153333	8.67	8.91	8.503333	8.14	7.956667	8.283333	7.676667	8.053333	6.73	6.666667	7.766667	8.54	9.103333	8.176667	7.57	7.89	7.98	8.743333	7.29	8.383333	7.7	6.733333	6.926667	8.653333	7.25	8.153333	7.79	8.5	6.37	7.56	7.48	8.673333	8.113333	6.976667	6.956667	8.29	8.05	7.973333	7.946667	7.97	8.13	8.26	8.116667	8.556667	8.013333	8.1	7.623333	7.466667	7.236667	7.756667	8.206667	8.65	7.643333	7.61	8.606667	7.843333	8.663333	8.056667	7.68	8.456667	8.09	8.036667	7.733333	7.9	9.753333	8.653333	8.36	8.5	7.79	7.793333	8.45	8.03	7.746667	8.02	8.316667	8.453333	8.93	7.796667	8.15	8.1	8.15	7.673333	7.22	8.056667	7.693333	7.013333	7.176667	8.01	7.736667	7.046667	8.23	8.49	7.536667	8.696667	8.056667	7.98	8.666667	7.546667	8.08	7.356667	8.33	9.306667	8.003333	6.946667	7.056667	8.103333
ANGEL1	7.71	7.35	7.87	7.82	7.673333	7.803333	7.71	7.533333	7.546667	7.58	7.623333	7.523333	7.626667	7.926667	7.516667	7.766667	7.766667	7.966667	7.563333	7.58	7.853333	7.673333	7.926667	7.723333	7.79	7.783333	7.663333	7.773333	7.78	7.486667	7.65	7.593333	7.74	7.866667	7.716667	7.53	7.533333	7.733333	7.43	7.473333	7.57	7.743333	7.533333	7.84	7.563333	7.646667	7.67	7.5	7.86	7.926667	7.66	7.533333	7.54	7.59	7.436667	7.946667	7.766667	7.483333	7.75	7.68	7.71	7.576667	7.603333	7.776667	7.696667	7.566667	7.706667	8.023333	8.013333	7.883333	7.486667	7.583333	7.976667	7.61	7.636667	7.513333	8.186667	7.566667	8.02	7.693333	7.766667	7.803333	7.806667	7.973333	7.91	7.7	7.62	7.52	7.64	7.933333	7.616667	7.516667	7.88	7.496667	7.653333	7.516667	7.966667	7.583333	7.593333	7.6	8.186667	8.063333	7.5	7.52	7.583333	7.82	7.4	7.516667	7.66	7.626667	7.573333	7.68	7.623333	7.503333	7.436667	7.826667	7.796667	7.413333	7.513333	7.743333	7.763333	7.71	7.893333	7.873333	7.596667	7.83	7.92	7.72	7.516667	7.64	7.566667	7.81	7.756667	7.846667	7.513333	7.916667	7.84	7.77	7.603333	7.813333
ARL6IP5	11.945	12.81	12	12.13	12.89	11.495	10.875	10.205	11.385	11.53	11.555	10.685	10.375	12.15	11.85	10.84	11.31	12.415	11.455	11.655	11.545	11.845	11.67	11.22	12.02	11.275	11.655	12.17	11.8	10.505	11.505	11.19	12.155	11.795	10.83	12.38	11.1	11.89	11.08	11.635	11.48	10.605	11.91	12.725	12.4	10.55	12.08	12.22	12.27	12.195	11.71	11.665	11.01	11.45	11.42	10.59	11.4	11.625	11.12	10.845	11.385	11.58	11.8	10.495	10.485	11.36	9.96	12.015	11.475	10.685	11.435	11.35	12.155	10.81	10.765	12.29	12.85	11.735	10.4	10.795	10.44	12.28	11.675	12.695	12.485	11.635	10.865	11.06	10.975	11.65	11.435	11.47	10.675	10.405	12.285	11.43	11.46	10.635	11.055	10.395	10.97	11.14	10.905	11.65	11.975	12.3	10.72	10.595	11.725	12.145	11.37	10.365	10.915	11.76	10.765	11.465	10.765	10.705	11.26	11.71	11.185	11.075	11	11.165	11.14	10.855	11.255	11.64	11.505	11.905	11.545	10.44	11.165	11.64	11.24	11.6	11.65	11.96	12.07	11.75
BAG3	9.65	5.65	5.75	9.5	5.75	7.71	7.89	8.07	8.28	9.52	6.53	6.58	6.77	5.49	5.7	5.84	9.34	5.41	8.57	6.97	6.05	10.57	5.97	9.56	6.45	9.91	7.8	6.17	8.86	10.02	6.01	6.65	6.02	5.67	8.1	8.98	9.78	5.67	7.8	7.4	10.13	7.87	7.88	5.69	6.09	8.18	5.38	10.17	8.16	6.25	10.04	12.02	8.05	7.13	8.73	7.53	8.23	9.44	9.22	9.91	10.28	11.28	7.52	8.99	8.15	7.52	9.25	5.33	5.57	8.12	9.4	7.53	8.37	6.92	7.91	8.88	5.26	9.68	7.78	6.34	9.71	6.34	5.77	7.83	8.04	8.52	6.37	8.07	8.34	9.58	9.24	8.14	9.16	7.64	8.73	8.64	7.56	9.32	7.79	7.7	7.12	8.6	8.43	6.42	9.04	6.38	7.4	7.59	7.88	8.62	8.64	7.72	7.23	7.6	9.59	7.8	9.34	7.9	7.44	9.91	8.4	9.05	7.51	8.04	10.29	10.75	6.86	8.58	8.4	7.85	7.91	9.85	8.59	9.98	10.13	10.51	9.04	5.45	8.41	10.14
BSPRY	7.7	9.405	8.705	8.245	8.635	9.055	8.295	9.01	7.15	8.775	8.62	7.4	7.97	8.92	8.34	8.09	8.365	8.72	8.41	8.57	7.915	7.335	7.205	7.385	8.97	8.415	8.11	8.715	7.625	7.025	8.685	9.125	8.265	8.575	7.39	6.765	6.805	9.07	8.165	8.985	8.605	7.15	9.2	9.39	8.64	7.725	7.76	7.155	8.115	8.48	7.635	7.025	7.76	8.745	8.545	7.185	9.03	7.735	8.695	7.11	8.155	7.305	8.54	7.63	8.415	7.855	7.68	8.285	8.63	7.485	7.755	8.525	8.45	8.06	8.43	8.04	9.1	7.51	7.47	7.545	8.61	8.59	9.185	9.03	8.19	8.435	8.255	8.43	7.355	8.655	7.925	8.03	8.485	8.04	9.335	8.75	9.42	7.33	7.585	7.405	8.705	8.39	8.085	8.27	7.85	9.31	7.27	7.405	8.045	7.745	8.07	7.95	8.15	7.93	8.26	8.265	8.625	7.715	8.75	7.67	7.69	8.735	8.44	7.8	8.615	7.67	9.03	7.78	7.405	8.225	8.23	7.26	8.22	8.165	8.265	7.56	8.335	8.235	8.785	7.415
BTBD3	8.77	9.1	7.94	9	8.4	9.08	8.5	8.55	10.28	9.64	8.72	9.54	9.3	10.55	7.89	9.67	9.45	9.49	8.75	9.02	9.29	8.91	9.68	8.59	10.65	8.53	8.75	9.03	8.98	7.39	9.52	8.34	8.71	11.08	8.95	8.54	9.04	9.42	8.42	9.77	10.13	7.64	8.73	10.06	8.36	9.31	9.03	8.63	9.21	8.57	9.76	8.8	9.51	10.39	10.48	5.9	9.62	9.2	9.41	8.57	10.6	10.24	10.15	8.41	8.46	9.31	9.19	9.16	9.83	8.3	9.56	9.22	10.15	10.3	10.17	9.11	9.69	9.12	9.45	9.76	9	9.83	9.75	10.7	9.14	8.77	9.91	10.14	8.12	9.5	9.35	8.34	9.25	10.41	11.05	9.57	10.29	10.52	9.38	8.5	7.72	8.94	8.73	8.21	9.11	9.87	5.11	9.11	9.31	9.94	10.47	7.97	9.92	10.78	9.42	9.75	9.72	8.9	10.34	9.86	8.68	7.96	8.19	8.4	9.66	10.7	10.06	9.18	8.98	9.5	8.51	6.67	9.55	9.07	10.03	7.86	9.64	8.12	10.69	9.25
C1RL	8.07	8.315	6.79	7.64	8.21	7.555	7.545	6.69	7.69	7.965	7.275	7.825	7.425	8.01	7.5	7.6	7.215	8.19	7.95	7.905	7.865	7.935	7.815	7.535	7.785	7.58	7.94	7.83	7.62	7.585	7.935	8.575	7.885	8.28	7.38	8.255	7.32	7.52	7.475	8.035	8.155	8.14	8.03	7.895	7.825	7.35	7.66	7.8	8.135	7.955	7.65	7.505	6.96	7.975	7.67	7.015	7.61	7.51	6.63	7.095	7.325	7.35	7.13	7.05	7.3	8.035	7.34	7.395	7.615	7.045	7.94	7.905	7.87	7.875	7.805	7.81	8.135	8.04	7.895	7.79	7.47	8.105	7.735	8.08	7.7	7.775	7.86	7.295	7.615	7.21	8.06	6.91	7.64	7.85	8.11	8.04	7.755	6.905	6.77	7.7	7.725	7.69	7.24	7.8	7.68	8.185	7.345	8.04	7.04	8.135	7.355	7.75	7.54	7.635	8.025	7.715	7.405	6.79	7.665	7.15	7.185	7.895	7.17	6.86	7.725	7.675	7.22	8.4	7.575	7.825	7.915	7.02	8.035	7.915	7.76	8	7.995	7.985	7.085	7.875
CALCOCO2	8.733333	9.5	9.013333	9.553333	9.286667	9.436667	8.626667	8.543333	9.63	8.546667	9.363333	8.916667	8.833333	8.923333	8.576667	9.08	8.67	8.946667	9.003333	8.686667	8.603333	8.866667	8.696667	8.763333	9.07	8.936667	8.636667	8.85	9.253333	8.443333	8.896667	9.136667	9.526667	9.473333	8.61	8.996667	8.75	9.16	9.37	9.83	9.1	8.9	9.113333	9.883333	9.076667	8.95	9.07	8.966667	9.406667	8.55	8.936667	8.89	8.64	9.303333	8.85	8.503333	9.113333	8.28	9.47	8.1	9.936667	8.86	9.276667	8.383333	8.34	8.87	8.646667	9.27	9.36	8.616667	8.763333	9.453333	8.87	9.17	9.003333	8.89	8.84	8.95	9.146667	9.156667	8.29	9.546667	8.77	9.203333	9.143333	8.87	9.806667	8.296667	8.61	8.686667	8.583333	8.653333	8.503333	8.436667	8.896667	9.25	9.093333	8.566667	8.51	8.686667	8.283333	8.41	9.23	9.546667	9.113333	8.86	8.16	9.543333	8.88	9.43	9.43	8.73	9.786667	9.773333	8.99	8.87	8.52	8.983333	9.15	8.633333	8.633333	10.5	8.77	8.793333	8.856667	7.56	8.656667	8.813333	9.18	9.376667	8.733333	9.116667	8.943333	8.846667	8.583333	9.15	9.07	9.46	8.53	8.92
CAMKK2	7.485	7.6	7.745	7.83	7.5425	7.7925	7.335	7.23	7.1625	7.39	7.865	7.11	7.805	7.565	7.9925	7.9	8.145	8.0275	8.2525	7.8025	8.1675	7.9425	7.84	7.2425	8.075	7.685	8.17	8.1975	8.445	7.7525	8.065	8.36	8.0025	7.74	7.61	7.6175	7.86	7.8625	7.4475	7.79	8.2975	7.9725	7.8425	7.7525	7.825	7.55	7.835	8.2175	7.815	7.7675	7.9875	7.46	7.495	7.1175	7.5225	7.2225	7.2375	7.1925	7.42	7.3	7.3925	7.41	7.52	7.3875	7.475	7.7	7.5225	8.185	8.2725	7.2125	8.08	7.53	7.66	7.57	7.965	8.245	7.9275	7.5875	7.2525	7.3725	7.8275	7.9925	8.115	7.71	7.585	7.495	7.5175	7.715	7.145	7.245	7.79	7.435	7.1075	8.125	7.4725	8.3275	7.975	6.895	7.0925	7.7175	8.19	7.535	7.42	7.9825	7.855	7.34	7.14	7.07	7.525	7.7525	7.2725	7.8425	7.37	7.27	8	7.375	7.4675	7.495	7.89	7.735	7.4475	7.3125	8.1325	7.7675	7.3975	7.7625	7.9825	8.075	7.355	7.8075	7.3475	7.305	7.4625	7.37	7.875	7.9925	8.0875	8.0825	7.5375	7.8875
CANX	9.71	9.828	10.386	10	10.044	10.362	9.744	9.544	9.816	9.96	9.968	9.904	9.826	9.638	10.248	9.912	9.752	9.882	10.074	9.696	10.038	9.978	9.726	8.546	9.938	9.586	9.63	10.25	9.972	9.286	9.93	9.662	9.976	9.802	9.6	9.908	9.9	10.162	8.992	10.132	9.87	9.164	9.558	9.79	10.318	9.654	10.698	9.902	9.892	10.036	10.178	10.024	9.91	9.914	9.822	9.67	9.644	9.696	10.16	8.814	9.584	9.996	9.346	8.798	9.256	9.908	9.3	10.044	10.152	9.412	9.866	10.176	9.828	9.916	10.214	9.93	9.766	10	9.396	10.074	9.288	9.98	10.158	9.744	9.574	9.696	9.982	9.584	8.856	9.45	10.088	10.404	8.74	10.186	9.746	10.07	9.89	8.414	9.304	9.838	8.942	9.206	9.406	10.146	9.956	9.836	9.102	9.534	9.634	9.842	9.57	9.766	9.302	9.488	9.946	9.738	10.064	10.106	9.64	9.636	9.336	9.332	10.386	9.202	10.066	9.262	9.776	10.09	9.774	10.186	9.758	8.814	8.856	9.588	9.95	10.248	9.94	9.932	8.354	10.342
