TCGA-AB-2915	TCGA-AB-2815	TCGA-AB-2955	TCGA-AB-2933	TCGA-AB-2929	TCGA-AB-2849	TCGA-AB-2980	TCGA-AB-2952	TCGA-AB-2814	TCGA-AB-3011	TCGA-AB-2942	TCGA-AB-2819	TCGA-AB-3001	TCGA-AB-2858	TCGA-AB-2928	TCGA-AB-2943	TCGA-AB-3012	TCGA-AB-2897	TCGA-AB-2950	TCGA-AB-2975	TCGA-AB-2842	TCGA-AB-2823	TCGA-AB-2937	TCGA-AB-2841	TCGA-AB-2893	TCGA-AB-2882	TCGA-AB-2991	TCGA-AB-2919	TCGA-AB-2901	TCGA-AB-3002	TCGA-AB-2956	TCGA-AB-2963	TCGA-AB-2984	TCGA-AB-2812	TCGA-AB-2971	TCGA-AB-2948	TCGA-AB-2834	TCGA-AB-2898	TCGA-AB-2930	TCGA-AB-2970	TCGA-AB-2813	TCGA-AB-2986	TCGA-AB-2994	TCGA-AB-2811	TCGA-AB-2996	TCGA-AB-2949	TCGA-AB-2808	TCGA-AB-2941	TCGA-AB-2828	TCGA-AB-2865	TCGA-AB-2917	TCGA-AB-2983	TCGA-AB-2856	TCGA-AB-2995	TCGA-AB-3008	TCGA-AB-2918	TCGA-AB-2924	TCGA-AB-2895	TCGA-AB-2931	TCGA-AB-2913	TCGA-AB-2891	TCGA-AB-2914	TCGA-AB-2840	TCGA-AB-2932	TCGA-AB-2875	TCGA-AB-2805	TCGA-AB-2825	TCGA-AB-2981	TCGA-AB-2839	TCGA-AB-3009	TCGA-AB-2890	TCGA-AB-2883	TCGA-AB-2822	TCGA-AB-2872	TCGA-AB-2846	TCGA-AB-2892	TCGA-AB-2880	TCGA-AB-2873	TCGA-AB-2966	TCGA-AB-2885	TCGA-AB-2861	TCGA-AB-2884	TCGA-AB-2921	TCGA-AB-2912	TCGA-AB-2835	TCGA-AB-2908	TCGA-AB-2876	TCGA-AB-2843	TCGA-AB-2934	TCGA-AB-2874	TCGA-AB-2920	TCGA-AB-2938	TCGA-AB-2844	TCGA-AB-2916	TCGA-AB-2899	TCGA-AB-2847	TCGA-AB-2959	TCGA-AB-2944	TCGA-AB-2940	TCGA-AB-2878	TCGA-AB-2871	TCGA-AB-2818	TCGA-AB-2877	TCGA-AB-2977	TCGA-AB-2999	TCGA-AB-2857	TCGA-AB-2820	TCGA-AB-2936	TCGA-AB-2946	TCGA-AB-2830	TCGA-AB-2973	TCGA-AB-2853	TCGA-AB-2998	TCGA-AB-2821	TCGA-AB-2982	TCGA-AB-2867	TCGA-AB-2988	TCGA-AB-2939	TCGA-AB-2979	TCGA-AB-2925	TCGA-AB-3007	TCGA-AB-2863	TCGA-AB-2845	TCGA-AB-2910	TCGA-AB-2976	TCGA-AB-2965	TCGA-AB-2935	TCGA-AB-2881	TCGA-AB-2927	TCGA-AB-2866	TCGA-AB-2869	TCGA-AB-2859	TCGA-AB-2806	TCGA-AB-2987	TCGA-AB-2900	TCGA-AB-2992	TCGA-AB-2894	TCGA-AB-2817	TCGA-AB-2836	TCGA-AB-2851	TCGA-AB-3000	TCGA-AB-2826	TCGA-AB-2870	TCGA-AB-2888	TCGA-AB-2886	TCGA-AB-2896	TCGA-AB-2911	TCGA-AB-2810	TCGA-AB-2990	TCGA-AB-2889	TCGA-AB-2862
P4HB	6.11666334636238	6.36311254092886	4.66150050366582	6.76041258326387	5.04426295930192	5.09239647492708	7.27847826537008	6.61357629444512	5.17027200801386	6.13749286744039	5.92918454075985	6.6901153384452	7.95558365535876	6.12596471489597	5.57194615261431	5.37314565115414	8.33477875463795	8.52981274937449	6.59549336658388	6.48557849539502	6.88865558881494	8.55167481300681	6.19912480197026	8.87929927722883	7.70835762844231	5.7829649332095	8.48537932694219	6.17529045352288	6.23609974620351	6.30203713849133	7.24594529405547	6.33372354841424	4.96145802930234	6.58039998426007	6.13004661880098	6.72545624244684	7.01014762619804	6.87687665460921	6.27328667394952	5.77992181063041	6.57813746288503	5.60503882687884	8.21987275166953	7.43073604474864	6.55839836471615	5.58822231153485	6.3730953506955	5.69959965863297	6.5522722345615	5.77320304662375	5.91412461621684	5.64379357545121	7.30630052343423	5.59153072408858	5.74386795107002	6.45894380688644	6.6432382954576	5.36776593539295	6.17761148588609	5.46134618112974	6.60735946329339	5.78399533803806	7.46565863639559	6.99475959734301	6.71598532021223	5.52109283583713	6.66495067328473	5.67955891776437	5.47183223609	7.47828183128455	5.45448091985734	6.83067364913184	5.2099145643989	8.7418491825415	6.49143160751451	6.45801708426212	6.14148286093035	6.73279152554457	5.36771911577904	5.78632243291505	7.60472741680824	6.40943065213686	6.63204190405208	6.12889797209007	7.4799330118881	6.53583647975213	5.50738967752881	6.3430330637952	5.93244178506525	7.22130773819012	6.583142956914	6.35945528200757	6.7872809568652	5.73854087815609	6.30636906696122	6.22633376970486	4.99682257445898	5.16506375468545	6.19136564052657	6.24989014140681	5.41803541339998	6.41111384266606	6.67137263926223	6.51389226298997	7.57927897393943	6.61990111418688	5.02249387687178	5.04492301058265	5.86861071764551	6.39438294759868	5.73668252766491	5.66786034245596	8.24864630901744	6.32787523279652	8.01946952576436	6.410677246505	5.68738520221871	6.59883845244941	6.35059342354768	7.62857677111469	8.68312199856596	6.2889352665133	6.09435178488922	9.01245414274758	6.17589321167968	6.87941415952099	6.27644958001062	6.12842188325319	5.61284992454568	7.10574930585185	6.3391976147547	5.78940557361089	5.7786730136847	5.62611960569233	6.64338666041185	6.92483981362379	6.3951107971283	5.84498087793144	6.05544795627882	6.0958786495614	6.08833604392342	7.08086974609598	6.23074561309637	5.79998896775839	5.8219099236685	5.78512730609048	6.00103363621734	7.00149939798665	6.55251340867973	6.40886943493303	7.58577078460026
PDCD1	1.23197362477681	0.112344555504417	1.85633996664655	0.51440771507494	0.685534836574348	1.17563701035841	0.424547744912776	1.53039441311187	0.555049949267291	1.78793848923137	0.8165621079173	0.306750095013988	0.9727685910619	0.566993671911431	0.942855119441227	0.908287448224929	0.553932945521135	2.22026122399366	0.609706745477412	2.46134388897513	0.913865508107689	0.290251458836585	1.39540779825634	0.249235368925918	0.862299982231882	1.40478162118529	1.1036634687647	0.299783882261662	0.317528328643114	4.328366162038	1.01268236840907	0.118273281276255	1.27141252802519	0.908536790597487	1.55688306036688	0.971435252344465	0.349212280392355	0.862530184425901	1.26813252791702	0.504737531942981	1.11539087508691	0.480225408612118	0.762584390529962	0.891036646958303	0.566196549607927	1.54496554522836	0.331948912217261	0.454110917792715	0.287941257310928	1.08758300425644	0.80518149384379	0.722225730159218	0.765022668483213	1.22299122159248	0.860951280081601	2.37406794460206	1.01086145790084	0.973150862041261	0.686429259089281	0.797046024515282	2.75506724008216	0.579496946168716	1.34812135124523	0.334740908225057	0.549079947889824	0.739020605085622	1.54999340186871	0.94135184876915	0.930220107271095	0.175808545349505	1.40324263177258	0.747906805264805	0.48325022023869	0.80772931466714	0.175912759181695	0.219216111185025	1.29489066382879	1.10048254014435	0.387266688875852	1.45188735470487	1.00251890932738	2.02069135992773	0.673366373712207	0.684977672059194	0.509546168808828	2.0849262216854	0.345895128942277	1.20705884530694	0.751357796809599	1.30174156488143	1.71962198816711	1.54352656820838	0.711086841572006	0.523320968223474	0.716395613278751	1.1901672866988	0.32175242164398	3.31914418311196	0.756960073862234	0.636810108752388	1.50686797390188	0.580507994411482	2.71407557192107	2.01687566387083	0.288735710457701	1.45418484418566	4.43275300697183	0.799936173528842	1.15389157100302	0.821483447181074	0.685643732162849	0.107979070177352	1.34527430039834	0.65657782732358	0.819570420225521	0.866297625636461	1.72663375915372	0.60474069275677	1.05565033006179	0.601168303093521	0.495632542161159	0.806192383545134	0.714149224863644	0.14556568683013	0.622173486978128	0.53301666505706	1.22310061075525	0.71531266226207	1.0160348404162	2.36309873024784	0.72623344262086	0.934787087679536	0.368861862864905	2.14973736604045	2.75753215491499	0.552519021761645	1.03699276478644	0.344677403699553	1.00659030387781	1.67771795056891	0.773379124597005	0.369921373871053	0.579725739037867	0.532297008355875	0.517629355841738	1.18987262156352	1.33540264658197	1.45087181601549	1.27679202311987	0.382566661718286	0.546617040763444
HEATR6	3.54407235133398	2.64562281307121	2.73127340719461	2.9602874299684	3.07319590130394	3.61500070922089	2.86318599181603	3.05292846761931	2.89306509761287	3.08837705045749	2.84945029060955	2.85518941729469	2.56453889266892	2.56710682893944	3.77063244562087	2.99757387283619	2.32613865363543	2.11509318747819	3.24739847889649	3.07741546247395	2.72921318326708	3.00550598510315	2.17060963821411	2.65311552195096	2.12741009041522	2.99555036577542	2.44302229469482	3.26028570917507	3.99516519115785	2.15513815948889	2.8802202227087	3.4208811867487	1.5869621323187	2.96258289208194	2.99810738592162	2.79874545463865	2.58218143172352	2.96971690025035	2.94035114050154	3.24396651476973	2.43962154194882	2.30594426340395	3.37860428569011	2.69387207082185	3.35895151390911	2.61996791299404	2.6622898253353	3.57314666346932	2.74787867021452	2.72918685702691	3.07777519369325	2.86771028503092	2.83740985057451	3.04777218831746	2.39329153129589	3.12872611162517	3.13298771371431	4.22289186803264	3.76216594219204	3.21652377760304	3.08987030188533	2.79247474710661	3.14182970635609	3.28890511750905	3.3525181499893	2.84248048812356	3.38735537146209	3.21489476270391	2.73362072647162	3.32723982939467	2.69695706926462	2.61625252605911	2.73166854859988	3.17988934983188	2.63075305573839	2.62946410414249	2.98065179485018	2.64274731227996	3.07739495252833	3.23931096395213	2.65477486424064	3.05648191189186	3.68934501290543	3.06160513737508	2.49087429653364	2.42955597897528	2.66606643236827	2.76922099848315	3.22747616728889	3.34630153723247	3.08032355378754	3.62780758754954	3.37216912594594	2.89683060325009	2.41260541096948	2.97972905107064	2.50220379379049	3.19210750627179	2.84545070874144	3.53487587755391	3.22954501038429	3.01194319130969	3.35820887948845	2.15635778175356	2.19477103510927	3.42654897117849	3.57962066293644	2.73290454015335	3.06364444373186	2.92883645851779	2.77837050246822	3.28160404534188	3.03065460157248	2.7501603365381	2.93619957576896	2.09879850853393	3.66141100095558	3.16892855663181	2.63819110208402	2.85309942131623	2.9824540769592	3.11712965472747	2.80855783419043	2.76961751917628	3.76218508119749	3.04886931867081	2.8984987974832	2.91590518582059	2.27931676596379	2.5586034073558	3.5595224043786	3.46263739495577	2.64029584546489	2.21645362344865	2.76223803112297	2.75471073447551	2.59586357326891	2.81121062318086	3.41602982228443	3.01161889955465	2.96897416679843	2.70295535936779	2.96127140852891	2.88651151886696	2.99047714944732	3.5512256037264	3.4025981728599	2.68232293882277	3.09469380794395	2.79108847874382	2.59100362362831
REC8	3.26471146537725	2.81144677989656	2.08834448279869	3.69235354377093	4.56872956314048	3.97884359841591	2.54958884080724	5.22459561417469	2.42942528823863	4.22940180615191	3.01590375189817	3.66481389406376	3.62211977831248	3.2847304324491	4.25922954456177	3.28904356893878	3.65995309243667	3.48912285910738	3.2193567363157	3.25918946376442	3.23997170582995	2.71333421607906	3.48864611035491	3.4590912336102	3.21660836159369	4.59209459871129	5.10530386385954	3.41106539124896	2.96954101455579	4.35041662363794	3.97591810964745	2.06634859384961	2.13817979246645	3.10247320598031	4.14121695911759	3.62763835296837	3.13173038878374	4.81696878037417	2.94112396882455	3.68027371533366	3.88947743643959	2.45073248638018	3.99175764650472	4.34539424626478	3.71404435073303	4.02816864265441	3.03020451694956	3.26842930311168	2.74100201311535	4.43536989910561	3.62145411233216	3.45537193904751	3.19927406677775	4.70639351486555	2.71131274113469	2.98771723423576	3.08867233093539	4.71809854664714	2.64859014907473	2.82665383196013	3.50027432779857	2.95698592461258	2.73568333422764	3.47321413499994	2.96743498340495	3.02387648245133	3.59621480737568	4.15808007270923	2.9457485201238	2.79620401152061	4.15923681499518	3.3055884260716	3.12809655144358	3.29827603870562	3.47701540090365	3.24674827384782	3.2302901812454	3.65312997120942	4.40536955263945	5.07760661823527	3.03868691066086	2.90357281687993	2.76651056919471	2.6428824460376	2.85186015588232	4.30133083573554	2.02835167074398	4.74932187016297	4.140786016453	2.81340565691608	5.25184896717968	3.33062766493909	2.80662700185181	3.06358542897068	4.48414586681118	5.41786668866229	3.72907414917957	3.33962528117824	2.8218683518635	4.84186949066628	3.34962585076139	3.37892675450789	3.14180665947625	4.27867469621068	3.17180601079387	3.56022704543664	4.14947318463805	3.61208351663145	2.85879166143291	3.29909765486543	3.7744550039017	3.33681822860708	2.74085439861034	4.18779307948456	3.3939640404756	3.44007249699124	4.12874046160279	4.34851075999873	2.81235836441595	3.73344653998228	2.92847531138957	3.23485060912999	2.94215132273137	4.48258178571369	2.58851844569561	2.96356105298016	4.36270762979195	3.30784975978803	3.62509744912244	4.18378343929277	4.50820107416144	3.66876587725298	2.5243508317978	3.72784423469861	3.22212230292906	3.86521411649868	3.40973564814846	4.20049650655023	4.46636283012205	4.13962092750322	2.80108144810953	2.81219527891134	3.9000388618995	3.70921342520711	3.61573173460286	4.17202099642935	3.83140504602557	4.39301524358693	2.73930742270073	2.86280921863488	2.99124010472525
DNMT3B	4.10409087745711	1.13863231879294	4.28701196000411	2.9824451322994	5.34928069796751	5.66544336909006	3.86146809943008	4.26458597118523	4.04993391091854	3.67653145687886	0.825661253245003	2.22586472223807	3.47151394864896	3.34436366416195	4.43705391778579	5.02235627142196	3.34907973953769	2.56071764424239	2.14526496476866	3.80699111093989	2.46727843691889	3.293451122188	2.4571805706639	2.42598960987733	1.65293110918141	4.07506106836181	3.87810242568067	3.98873285153488	4.35591273509308	3.7871795945878	1.73811107197087	3.82174082351565	3.53030051607281	3.55708654120018	2.4558974119493	2.05161258885909	3.42298470194222	3.96552388356181	3.69972596244673	3.29531454592228	2.32686950941516	4.02723457259367	2.81436912672393	2.64442069245125	3.29703216829392	4.35792002084942	3.09317917053506	3.40660809571889	1.38611508520171	4.87546849378138	3.3340687947753	2.93173410827464	2.77076224717722	3.94419877728169	4.41484587861863	4.91189622874655	3.25828358190578	4.99367934279831	5.14014713403861	3.70008121937328	3.94514695596566	1.14185651219291	4.10990293083704	1.93704263768949	1.9808870028486	1.69513952038274	2.31405115590888	2.1819647288552	4.22517156798933	4.0861927106749	3.48333856121513	1.76819787810521	2.70022906928738	2.77554828551308	0.896722279146942	0.750032142156848	3.48887872174592	1.37651043867848	5.02567998709581	5.53313408881453	2.27419783829728	3.37598830828062	3.51143514687086	2.7478838247686	1.83948398392256	5.20551294109217	3.23451787497896	3.67174513480452	4.23712236845841	3.18072154624488	4.66870291671614	2.93991822838225	3.41587870586841	1.74891071705616	3.32767184506226	3.98587107516514	2.92079101084167	5.41728477440406	3.380413339558	3.53088852049266	3.96211772312388	2.66587662038932	3.11143701331997	3.38814750961103	3.27519884761319	3.76943535324471	3.49112322864689	3.82734651542126	2.94844161899498	4.36371986982007	1.08379543571463	3.66453176373606	3.52586842344018	3.76644675049144	3.39653354367984	3.27642073232415	4.94020293488837	4.39251801214379	3.63274748294566	2.79036126996372	3.66380570707427	3.63078287139925	3.29591223730599	1.66717048374733	4.33388881340466	3.01226991352339	4.47413553161268	0.573787593890234	2.34909658742717	1.36436119507271	4.36583458835942	4.5578983401438	2.42125885271851	0.512085366488921	3.05171002520215	2.56852735316407	2.16016831978933	3.16007358239319	3.51855150453991	3.20779947939533	3.20520496921378	1.61588801531545	1.30121185315443	0.521838424340899	2.60818898700164	4.66032170142019	3.47434388435026	3.06598238400574	3.34931714920962	1.00729741954336	4.29351763041742
TCF4	2.3474774417635	1.73608658088612	0.689560119347509	5.34778717485669	2.73872763529961	3.55535726580813	0.989755418839708	1.9798084225543	2.46231386538578	2.84239459795548	1.94064149290712	1.50912473072936	0.588028813979096	1.7491725295582	2.66883416647664	2.70613288634191	1.37991590260538	1.06731242165386	1.10933113681832	2.19444925677629	1.47704416410709	0.81311837901506	0.991633402620695	0.615712527853201	4.60633147512332	1.44430131159977	1.02310344430857	2.07936957696126	2.46652140988354	4.69994245754795	0.670359145846258	1.87497279286165	2.34672915954031	2.98290415904503	1.69779605574389	1.8429715931609	3.69073554844399	1.86646254280141	3.18746784050204	4.83858373700209	1.73377819204651	2.65830335521758	0.626884002261145	1.07305721940323	3.09894113666118	3.51360822822904	2.31162343191504	3.14738811268178	2.2648117327952	2.5471445259277	2.87866904487163	4.25010509803283	1.60942355804883	2.84948131702179	1.35747712328341	3.26520793105978	2.12584051733339	2.52696520817155	2.94544570924653	3.79842902994647	2.31354364904052	3.28936352098136	1.45520436815268	1.59488147750485	1.95182051691873	3.9002987934594	1.83365317512931	2.06237353970862	2.34769003168906	0.463843185907228	3.54670558562843	1.39114685364299	2.90502581367441	1.59002803670228	2.46399798992979	1.9741775897533	1.46905918452291	0.729337149468076	1.83987213656428	3.03479535377219	0.275611064491764	1.58910525701808	2.80374366850523	3.89800514171313	1.12421959789814	2.90403219142277	0.265536632999078	3.7508701530914	2.95319240389536	1.54656064181448	1.64781735023336	2.58586126017141	2.07089246591705	3.0078300399938	4.44585910320699	1.76043728126595	4.8551345873475	2.98255282961915	1.32248256029965	2.53141390129412	2.78056039646925	2.00224741016736	1.62729538781745	0.751919981121878	0.800153262805625	2.23859336653568	3.61392998919904	3.7300073136372	1.35360107497014	3.4264641683458	1.21913381790368	2.47026352755543	0.500333177452818	2.42809628404554	1.43115223542564	0.892054921399304	4.31973280768733	3.79373152869116	1.67251359826266	1.51538950722206	1.3904255653896	2.25346290410625	2.91057514630585	1.65959626227537	3.76146293946561	2.36542939070528	2.45675937256737	1.88196095798672	5.29865648287148	1.10462248642328	2.49140880609218	2.70539252412347	0.375996034631411	1.42580409238406	2.50278655980448	1.94592040302864	0.288771258654379	3.77093367726316	1.77075548256372	1.43338948002138	2.00725579187746	0.728272494527663	2.68799186695293	2.04980813164673	1.15027370867763	3.44160046805819	0.516557518553337	1.60118304434403	1.68435332041818	2.12226088738872	0.811332673140467
BSPRY	3.42160033710467	1.50071691624415	1.3629966532976	2.15983550099916	2.9071181387612	1.40158787314252	3.10969570049242	2.53339863735786	0.577714982009505	2.45270085248384	2.28332235168674	2.83798924597842	2.0103892200481	3.70569486247894	3.82061706663037	2.68149851626133	3.68468074379212	2.75884595139525	3.926600100042	3.7126166889193	3.38156579187279	4.01272509106555	4.35271192196183	3.99163884418273	2.71954291923988	2.46051480703153	3.21599225938453	3.12706054487791	4.11415710254948	2.57764755725703	2.72669740195138	2.99884772831305	1.14206244286448	2.97820679770917	2.42752009119745	2.26991076837492	2.17202019609547	2.9622199139594	3.80980850753189	2.10086464900273	2.02195723018651	2.94865989960511	2.74391452437819	2.74526315194417	3.30390901449992	4.19559642600741	2.51815162823111	3.48736157449954	1.88306865497172	3.78833908811338	2.4324458233035	3.07525792820214	4.60961668939322	3.73104743933735	1.46218846508024	3.69430411383204	2.43462796077981	4.58029806909885	3.86172316482739	3.0058575172116	1.9764142299957	2.2519402131672	3.09497412193269	2.46381781947504	3.5772366573221	2.84450296011071	1.20373239634385	1.21808491106634	2.39062504234147	3.67770442192074	2.63865126314331	3.06489129946368	2.47620979829598	2.78308047785603	2.31380598477258	1.24153514179572	3.00568418684104	1.61747904354123	2.02771955073606	2.88262603035047	0.963087947913871	2.02528044661563	4.40019975830253	2.45776000973149	1.9200615356025	2.74758440055065	0.914009840310267	2.79844499799272	2.68422134262533	3.30461091724021	3.79380434600147	3.19300557140705	3.63164446411295	1.51384998498208	3.33960219427703	3.58880216891675	3.26016434680348	3.50480723155653	2.52517862467799	2.97188598956782	2.97546015613673	2.68413335072221	1.50342557507925	4.1878619498033	3.02398272729098	2.48116820430406	1.04984053566566	3.22726851890837	2.10729249661796	3.40100345150538	0.925866001061701	4.12015947970778	3.67077689940345	1.70583904251192	3.64721663784876	0.681986661885292	3.26375737554389	3.62741773463908	3.22186610232702	2.52118745970832	4.04734294513773	3.25852043222884	2.23563302123665	1.50270994040574	3.92093636634965	2.13849732941529	2.68266205856424	2.49589415895989	2.78535113427753	2.36756033705855	3.23274133059305	2.93492971933464	3.9798616392373	0.153757872252438	2.07535395182035	2.28507724294976	2.93912725970972	3.10658082059262	2.07474620796498	2.26662285109897	2.41144143191013	1.55217292489531	1.95795915995377	0.631283868672332	3.43002869669494	3.67804710857853	2.34338195305136	3.0636006142861	2.41615686677254	2.78536431802465	3.26203258727148
CYP2E1	0.220328345004363	1.05419347325016	0.434714579940737	0.103694967418426	0.419529507223932	0.527263249286117	2.11502891352249	0.444930671161136	0.374063825797246	0.82943742994516	1.52083356227777	0.313750735725327	1.64290485160825	0.357258425014916	0.375910875731699	0.454940319002521	2.01339365199622	1.93517797043462	1.82070426310892	0.107114921945935	0.0231676167385975	2.22509288457902	1.32157199380659	0.584952209459826	0.0437779062813887	0.890363105391398	2.48785289344298	0.717095510687111	0.194408343869247	0.0747669336787819	0.182409196450163	0.0568978629184941	0.547667080783074	0.354760414141731	0.429182086257422	0.12787547369696	0.10238679184685	0.337320841001168	0.289474248001306	0.351751337354267	0.0738193423158365	0.149809930234694	0.637656241104516	0.07657374774936	0.121683449543835	0.295808702214559	0.543920166392107	0.720263140621912	0.400915057604945	0.267913276355457	0.0567803734494706	0.178944561835484	0.0650249624601709	0.270900616464064	0.518950716289764	0.214771510118155	0.129500971091251	0.500751787258871	0.376778016313395	0.373793740119406	0.432268351168213	0.656733040077391	0.637320333459955	1.02906552361948	0.614567098572777	0.0426463683855199	0.0554216078567433	0.11731511841271	0.252910319791144	1.42009051577136	0.227746989521454	0.136867719118571	0.688843868089817	1.39562879542914	1.64649540658332	1.26245180008958	0.660576089395636	0.0688613232471791	1.15689231626533	0.652654354049812	0.351198170000995	0.192591877581875	0.213137465175504	0.117654473780742	0.0242106147045227	0.436474336078484	0.397812379044166	0.115900078164578	0.241358065967807	0.838227717339846	0.712755293423262	1.89757578898384	0.147205608886382	0.115760628107087	0.206825987116216	0.332555107268672	0.172089087209316	0.340710034447443	0.487388897255255	0.173793030897881	0.40045366061687	0.0696695183261882	0.385691996433143	0.643530865761359	1.00516209412814	0.797857589375662	0.817238160021392	0.154427149509562	0.510333273503903	0.580341947775093	0.046014441594928	0.0484501741973309	2.1910297531393	0.199558526429402	2.25663631403671	0.526846054590195	0.051732267604749	1.13330705305213	0.900261922747272	0.0778012344099693	1.5484040712099	0.255009015147334	0.7807771458305	0.0657852191977118	0.197050233365691	0.0423079821764895	0.923654501228101	1.81418042266454	0.0950095389379573	0.138558010669145	0.931201347184578	0.122036905108875	0.80253528643535	0.024445076146396	0.0944096963612784	0.218218236448054	0.128486983704765	0.430084512946719	0.183570866380367	0.241276537880245	0.435465808333774	0.139343753087251	1.17710519057908	0.548939236207057	0.68998272418315	0.357881661475095	0.361753202621207	0.117977211542708	0.265817323697043	1.79440546851054	1.70810157690917
CXCR2	3.927124661409	2.26754298905413	0.495421433875263	2.99925212948637	1.41770671938882	1.13002676120572	0.497650274982008	1.6188879571957	1.13639222066183	0.350211395420144	0.997177710176594	0.882804543919407	0.80442657878715	1.08554091021706	0.178884791086587	1.71253943610796	0.331598486362495	0.864981965852238	0.876348616593936	0.284542678898196	2.55301367413592	0.716577884408301	0.405674605128651	0.700566225851728	2.7233237358262	1.65820554055008	0.374236137640293	0.481995731373467	0.599755678030171	0.07938411913518	3.17563477503218	3.23645741160059	0.0184194771671107	1.83685647321288	1.45882241041448	3.24937464577972	3.80745281589973	1.6049309896669	1.24999258152203	2.12886976990545	3.49463065450008	2.38841246936512	0.541741113214963	0.224446839534671	0.989362771275299	0.928677155650473	3.40235149738118	1.05428309365539	1.52551116238553	1.09322008190618	2.15559964567972	2.36608884600702	2.41137173685778	0.882254965998934	1.77469177270531	1.90543986174845	2.73237644778741	1.46182188811981	0.630544328857248	1.9662229819128	2.2040668268608	0.996516088494939	1.53202315331448	2.88292999487471	1.09516760812907	0.342563164966398	3.03906134280771	1.76228715160534	2.30101894295281	2.00584440590126	1.13224779829844	2.06308698581092	0.433439370845385	1.22297268023436	1.7672327323167	1.93095225946372	0.865024264249525	2.68900925035898	0.250491833152975	0.786481025311849	2.19869435690222	1.57595897788427	2.29448312576124	1.26882660478785	1.97802974683223	1.34649912441931	1.69841586274823	1.48043316814096	1.83150071349569	1.02690909818564	1.17596396934804	0.68533307994555	2.6424670715164	4.35959004257262	2.36282950071729	0.908259621279826	0.338076699781706	0.481920530642139	2.6289972714012	1.2116825948747	1.58356722102107	4.73630234302296	0.808094464053616	0.729689104947009	0.668064557278176	2.78182717589937	1.31862921065244	0.999544324951209	2.41375031175738	1.61855864464125	2.13412826252392	1.53946010124186	1.80158581273079	0.484023536181201	0.403673038160126	1.64163943131981	1.47658232877394	2.51693016102219	0.688538290583637	3.45705643116729	0.638122876390732	0.0245830994873467	1.71149931181906	2.85367893786133	2.36469204496489	2.99372073011158	1.7048144325254	0.561633585328626	0.798968569044381	2.0117521667103	1.47989121392249	1.19149379890044	2.50134818562403	1.61631346496383	1.15746157832114	1.18047188998171	2.99737768402151	0.823213181290315	2.10149309211482	3.03813711102294	1.79562150748378	3.10587901549848	1.81157501591199	2.45332160696287	1.29254972165366	1.4386633264237	2.01586005307843	0.688812275055958	0.578124779387102	1.48905065014841	0.544119547173614
FDXR	1.83382397072802	1.63270747253171	1.04449204442563	1.84390266505183	1.88661101430982	2.21158853317167	1.73956644731331	1.85510467922525	2.83123355836945	1.72716330376994	1.80895048453079	2.20491946169997	1.72858666250364	2.24699355971781	2.0409394095018	1.08126871820262	1.48765355645184	1.81277585323746	1.90160218976053	1.82977001665951	1.36307237040846	1.37940470792944	1.97668916779515	2.17473141977026	3.59835924966802	1.80506746844538	2.03506889320924	1.97899401732702	2.22735571022148	1.41450306212588	3.31350722587291	1.39755108419556	2.21215125466591	2.00306787285841	1.38692073056008	2.15094434396625	1.37834792356788	1.82715523221455	1.81158405776494	1.37572731119105	1.265097786856	2.32320575677292	1.42779494431771	1.63452310669103	1.63155879360722	1.77015161302976	2.02011634066472	2.4405134776439	1.5840836317985	1.45494074000416	1.74880426166569	1.47724367685036	2.95795860294575	1.66994743738084	2.2412596336507	3.03171736689856	2.31775266981963	2.13200261145078	1.90164003015196	1.86498560958321	2.0425203723632	1.32633254914089	2.54572477023407	2.94758611912839	1.81062859597229	1.08051850306961	2.79469949051017	1.59972340537887	1.5414950152772	2.33186283249589	1.70244389346753	1.87671456383301	1.35844633903552	2.12866392673938	1.71595704974524	1.35700353550932	1.56080689278823	2.66227797445608	1.27201840993913	1.99370297989944	3.70967552365097	2.02866179287445	3.14692708652321	1.68101830403985	2.77631205813393	1.73535493628635	1.45510334269915	2.04637510909219	1.52124073788217	1.55783206546106	1.88218131306701	1.36262305737987	1.26364922357125	1.14873761137031	1.53610314495117	2.27035521050738	1.34856783800757	1.60530278357629	2.55164643874709	1.2541187097899	1.99572256653177	2.19808863333939	1.94562118624959	1.92389192488554	1.5893502706295	1.49862464309384	1.21204383447505	1.24365750524231	2.43586351287872	2.27499423011096	1.66262434461179	1.40239747936056	2.91405528090894	1.54356022173567	1.82222231148582	1.16915407575042	1.61779214993097	2.98229050870062	2.11666018612677	3.50977310448036	1.76132102111443	1.62064646284925	1.50338842781836	3.21949040887723	2.04934882223215	2.41569620966937	1.41637876232926	2.12140404713412	1.69927710346908	2.46362716469605	2.20685823703051	1.41679975655235	1.70814661480805	2.10679586749122	2.43273443617616	1.05387315637486	1.8146340911958	1.47973034672536	2.09540866980459	1.57624155300987	1.93573505941164	1.963670169211	2.1569123736325	1.20823318759778	1.83550494481837	1.93254690275397	1.4161847069425	1.8206985454685	1.94242817563845	1.71951773016732	2.92847417437233
